1010 P21 sparkle  放射短条围成圆焰火环 | 命中爆点
1158 P24 arc      带羽状拉丝的斜弧月 | 斩击
1159 P24 streak   横向速度线拖出尖团 | 弹道拖尾
1166 P24 flower   六叶风车花瓣散细线 | 施法起手
1167 P24 sparkle  四角飞刃星逐帧微旋 | 斩击
1168 P24 sparkle  八至十角尖星胀缩 | 命中爆点
1169 P24 flower   五叶螺旋桨状圆盘 | 斩击
1176 P24 cone     右向锯齿锥焰层叠炸开 | 命中爆点
1177 P24 streak   横短条拉散成虚线带 | 弹道拖尾
1178 P24 arc      带锯齿的钩状弧块 | 斩击
1179 P24 blob     双瓣并列团块散成点 | 命中爆点
1224 P25 cone     尖锐斜向菱形刃片 | 斩击
1225 P25 glyph    缠线圆环套四角星法阵 | 施法起手
1226 P25 sparkle  四叶X十字胀开成尖刺 | 命中爆点
1227 P25 sparkle  六角尖星胀缩外溅点 | 命中爆点
1234 P25 mark     扁椭圆盘下沿生刺碎 | 减益标记
1235 P25 dust     短虚线喷溅成散点环 | 弹道拖尾
1236 P25 dust     点线旋涡扩成散点云 | 施法起手
1237 P25 blob     实心尖块炸成小方粒 | 命中爆点
1244 P25 streak   小三角展成横向拉丝 | 弹道拖尾
1245 P25 beam     竖直锯齿光柱由短拉长 | 撤离指示
1246 P25 glyph    多枚四角星叠成圆阵 | 施法起手
1247 P25 cone     向上张开的条纹扇锥 | 命中爆点
1250 P26 arc      内缘羽毛状开口弧月 | 斩击
1251 P26 arc      粗逗号旋成螺旋环 | 施法起手
1252 P26 arc      多重羽状弧刃扫成环 | 斩击
1253 P26 arc      光点长成弯刃双翼旋散 | 命中爆点
1260 P26 ring     带孔圆齿盘散成点螺环 | 增益光环
1261 P26 flower   六瓣圆角花旋散成点螺 | 增益光环
1262 P26 flower   八角花星旋转散射线 | 拾取闪光
1263 P26 flame    竖直火舌顶端内勾 | 环境氛围
1270 P26 ring     逗号尾旋合成带孔圆环 | 增益光环
1271 P26 arc      锯齿弯刀状弧旋点环 | 斩击
1272 P26 arc      钩尾弧月边缘拉丝 | 斩击
1273 P26 arc      带放射筋的四分之一圆 | 斩击
1326 P27 trail    斜尖块甩出右上弧状尾 | 弹道拖尾
1327 P27 streak   横向羽状扇条向右散开 | 弹道拖尾
1328 P27 trail    斜尖块甩出同心弧尾 | 弹道拖尾
1329 P27 cone     右指长针末端带层弧 | 弹道拖尾
1336 P27 other    四枚箭镞旋成风车炸散 | 撤离指示
1337 P27 trail    粗弧块拉伸甩出细条 | 弹道拖尾
1338 P27 sparkle  横向六向虚线星芒 | 命中爆点
1339 P27 sparkle  十二向虚线长星芒旋转 | 拾取闪光
1346 P27 ring     四瓣小花胀成齿边圆环 | 增益光环
1347 P27 ring     四向小尖瓣围成花环 | 施法起手
1348 P27 sparkle  四叶飞镖星旋转散线 | 斩击
1349 P27 arc      锯齿边半圆弧带扫成钩 | 斩击
1350 P28 cone     右指长锥头部带环纹 | 弹道拖尾
1351 P28 sparkle  短放射虚线星爆扩散 | 命中爆点
1352 P28 blob     小圆泡胀成交叠线环 | 环境氛围
1353 P28 blob     带旋纹实心球边缘生刺 | 命中爆点
1360 P28 dust     三组短点团向外飘散 | 环境氛围
1361 P28 sparkle  竖菱形成串展开成十字 | 拾取闪光
1362 P28 flame    泪滴火苗拖细尾亮点 | 环境氛围
1363 P28 blob     乱线勾刺团逐渐膨散 | 施法起手
1370 P28 sparkle  细长十字四芒星胀四瓣 | 拾取闪光
1371 P28 flower   细星芒聚成多瓣实心花盘 | 增益光环
1372 P28 glyph    同心圆加十字尖法阵 | 减益标记
1373 P28 blob     三瓣团块甩出碎点飘散 | 环境氛围
1405 P29 creature 展翼双翼V形渐平散点 | 环境氛围
1406 P29 trail    层叠短弧旋成右移螺旋 | 弹道拖尾
1407 P29 sparkle  细尖星胀成乱线实心球 | 命中爆点
1408 P29 blob     描边云团轮廓胀大散点 | 环境氛围
1415 P29 ring     断续线旋涡环旋成花边 | 施法起手
1416 P29 drop     扁扇水花加竖直钩状舌 | 环境氛围
1417 P29 sparkle  多芒尖星胀成花盘散点 | 命中爆点
1418 P29 blob     绒刺圆团旋开成放射瓣 | 命中爆点
1425 P29 glyph    四扇叶旋成圆形法阵环 | 施法起手
1426 P29 blob     斜向焰团拖散成碎点 | 环境氛围
1427 P29 cone     圆角三角块弯成逗号带 | 命中爆点
1428 P29 blob     花椰菜状团块渐薄散开 | 环境氛围
1471 P30 sparkle  多角星爆散成放射细线 | 命中爆点
1472 P30 blob     多边岩石块渐隐成卷线 | 命中爆点
1473 P30 dust     绒球状星点散成圆环粒 | 命中爆点
1474 P30 flame    小火苗舌收缩消散 | 环境氛围
1481 P30 sparkle  对顶双三角淡成十字线 | 命中爆点
1482 P30 dust     圆刺球逐层缩小成点 | 命中爆点
1483 P30 streak   水平细长光痕忽明忽暗 | 弹道拖尾
1484 P30 sparkle  风车状六芒星旋转爆亮 | 施法起手
1491 P30 dust     刺球碎成点状弧环 | 命中爆点
1492 P30 ring     短划虚线圆环扩散消散 | 增益光环
1493 P30 ring     细素圆环明暗闪动 | 增益光环
1494 P30 arc      月牙弧环旋转淡出 | 斩击
1506 P31 glyph    卷曲细线带三叉符号 | 减益标记
1507 P31 flame    水滴火舌配半圆盘 | 环境氛围
1508 P31 glyph    虚线环裹旋涡纹收小 | 施法起手
1509 P31 dust     圆球爆刺散成点圈 | 命中爆点
1516 P31 flame    小火舌竖立摇曳闪动 | 环境氛围
1517 P31 streak   水平细光带十字小星 | 弹道拖尾
1518 P31 sparkle  五角星轮廓旋转淡出 | 施法起手
1519 P31 dust     弯曲细线带上升星点 | 环境氛围
1526 P31 drop     水滴卷缩成扁细环 | 命中爆点
1527 P31 dust     放射点状扩散碎圈 | 命中爆点
1528 P31 arc      毛边弧月牙淡出 | 斩击
1529 P31 blob     粗带烟团卷曲消散 | 环境氛围
1572 P32 blob     带旋纹的圆形球体 | 施法起手
1573 P32 arc      尖刺毛边毛绒半圆 | 斩击
1574 P32 flower   双臂旋涡风车圆球 | 施法起手
1575 P32 ring     同心双环内套旋纹球 | 增益光环
1582 P32 sparkle  放射细刺线汇成亮点 | 拾取闪光
1583 P32 dust     放射尖刺圆球渐点散 | 命中爆点
1584 P32 flower   多瓣花盘旋转消散 | 施法起手
1585 P32 sparkle  粗射线八芒星爆发 | 命中爆点
1592 P32 flower   四瓣圆头 Clover 团 | 增益光环
1593 P32 arc      密毛边弧形月牙扫过 | 斩击
1594 P32 blob     疙瘩云团盘渐缩 | 环境氛围
1595 P32 sparkle  小风车星与虚线弧 | 拾取闪光
1615 P33 blob     密集缠绕旋涡球 | 施法起手
1616 P33 arc      带尖刺毛边的月牙弧 | 斩击
1617 P33 arc      素面粗厚弯月弧 | 斩击
1618 P33 sparkle  涂鸦放射刺星带亮核 | 命中爆点
1625 P33 blob     涂鸦式不规则云轮廓 | 环境氛围
1626 P33 dust     小旋涡与散点星尘 | 环境氛围
1627 P33 arc      带毛边弧收卷成螺旋 | 施法起手
1628 P33 mark     倾斜扁圆环带刺纹 | 减益标记
1635 P33 arc      月牙C形配虚线弧 | 斩击
1636 P33 ring     素净细圆环扩散淡出 | 增益光环
1637 P33 sparkle  饱满四芒星带亮心 | 拾取闪光
1638 P33 sparkle  瘦十字形四芒星闪 | 拾取闪光
1655 P34 flower   四瓣花盘旋转消散 | 施法起手
1656 P34 blob     疙瘩云状球渐淡 | 环境氛围
1657 P34 arc      彩虹拱形带疙瘩条带 | 施法起手
1658 P34 flower   扇贝边四瓣绒盘 | 环境氛围
1665 P34 arc      拱形粗条带配扇贝边 | 环境氛围
1666 P34 blob     双瓣横列小球团 | 环境氛围
1667 P34 dust     细刺小粒圆球 | 命中爆点
1668 P34 dust     疙瘩圆球鼓胀散开 | 命中爆点
1675 P34 ring     放射细刺圆环扩散 | 命中爆点
1676 P34 dust     粒球绽成放射星刺 | 命中爆点
1677 P34 streak   细弧状光痕滑过 | 弹道拖尾
1678 P34 trail    斜向扫过的笔触宽带 | 弹道拖尾
1712 P35 ring     点状圆环逐层扩散 | 命中爆点
1713 P35 ring     细双环内偏心亮点 | 施法起手
1714 P35 creature 四翼蝶形对称悬停 | 不明
1715 P35 arc      毛边月牙收缩成点 | 斩击
1722 P35 flower   十字形四瓣花盘 | 施法起手
1723 P35 glyph    旋涡格纹圆徽币 | 减益标记
1724 P35 flower   五瓣疙瘩花盘明灭 | 增益光环
1725 P35 flower   圆瓣密花团消散 | 施法起手
1732 P35 ring     螺旋线圈环向外扩 | 命中爆点
1733 P35 mark     扁平细椭圆地面环 | 减益标记
1734 P35 mark     倾斜粗圆环地面投影 | 撤离指示
1735 P35 ring     扇贝边尖刺点圈盘 | 减益标记
1761 P36 flower   旋纹多瓣花盘旋转 | 施法起手
1762 P36 mark     扁平椭圆环带刺边 | 减益标记
1763 P36 flower   花瓣绒边包裹圆球 | 增益光环
1764 P36 flower   螺旋风车盘缩成亮点 | 施法起手
1771 P36 creature 涂鸦小生物扇翅 | 不明
1772 P36 creature 单翼扇形扑展 | 不明
1773 P36 ring     点状旋涡聚成实环 | 命中爆点
1774 P36 glyph    双旋涡勾玉纹样 | 减益标记
1781 P36 dust     散点圆粒带十字星 | 环境氛围
1782 P36 flower   八瓣齿轮花盘旋转 | 施法起手
1783 P36 arc      勾状双旋粗弧 | 斩击
1784 P36 streak   双短斜条划痕 | 弹道拖尾
